'Micro SD card',  1
'Fan 17mm x 8mm',  1
'Heatfit insert M2 x 4mm',  4
'Nut M2.5 x 2.2mm nyloc',  4
'Enviro+',  1
'Raspberry Pi Zero',  1
'Pin header 20 x 2 right_angle',  1
'PMS5003 particle detector',  1
'Screw M2 cap x  6mm',  4
'Screw M2.5 pan x  6.4mm',  2
'Screw M2.5 pan x  8mm',  4
'Screw M3 pan x  6mm',  3
'SMD capacitor 1206 10uF',  1
'SMD resistor 0805 3K3 0.125W',  1
'SOT223 package FZT851',  1
'Veroboard 6 holes x 6 strips',  1
'Washer  M2 x 5mm x 0.3mm',  4
'Washer  M2.5 x 5.9mm x 0.5mm',  4
'Washer  M3 x 7mm x 0.5mm',  3
'Wire link 0.8mm x 6.5mm',  3
'Wire link 0.8mm x 0.4"',  1
