'Ferrule for 1.5mm^2 wire - not shown',  3
'Wire blue 30/0.25mm strands, length 150mm - not shown',  2
'Wire brown 30/0.25mm strands, length 150mm - not shown',  2
'Wire green & yellow 30/0.25mm strands, length 150mm - not shown',  2
'IEC inlet for ATX',  1
'Heatfit insert M3 x 5.8mm',  2
'4mm shielded jack socket blue',  2
'4mm shielded jack socket brown',  1
'4mm shielded jack socket green',  2
'Mains socket 13A',  1
'Nut M3 x 2.4mm nyloc',  6
'Screw M3 cs cap x 12mm',  2
'Screw M3 cs cap x 20mm',  2
'Screw M3 dome x 10mm',  4
'Heatshrink sleeving ID 3.2mm x 15mm - not shown',  8
'Washer  M3 x 7mm x 0.5mm', 10
